id,first_name,last_name,email,gender,balance
1,De witt,Benninger,dbenninger0@ezinearticles.com,Male,953.78
2,Edithe,Petkov,epetkov1@pagesperso-orange.fr,Female,-664.84
3,Allene,Jakubovics,ajakubovics2@mysql.com,Female,-727.33
4,Ellie,Peckham,epeckham3@ifeng.com,Female,946.36
5,Cart,Stuchburie,cstuchburie4@reverbnation.com,Male,845.42
6,Jewell,Kill,jkill5@wsj.com,Female,767.99
7,Gilberte,Wareham,gwareham6@a8.net,Female,788.56
8,Jocelyn,Flageul,jflageul7@is.gd,Female,911.5
9,Phaidra,Davydochkin,pdavydochkin8@narod.ru,Female,259.88
10,Reiko,Kernley,rkernley9@ft.com,Female,457.08
11,Kathryne,Letson,kletsona@liveinternet.ru,Genderqueer,-583.03
12,Jean,Cassedy,jcassedyb@hc360.com,Female,868.37
13,Rubin,Vannah,rvannahc@newyorker.com,Male,-701.05
14,Walton,Borland,wborlandd@yahoo.co.jp,Male,663.95
15,Gladi,Shurmer,gshurmere@princeton.edu,Female,-954.45
16,Kiley,Cord,kcordf@thetimes.co.uk,Polygender,-996.18
17,Roldan,Compston,rcompstong@addthis.com,Male,114.22
18,Karyl,Andrusov,kandrusovh@ebay.co.uk,Female,-283.1
19,Dorolice,Budnik,dbudniki@lycos.com,Female,338.62
20,Iorgo,Adamides,iadamidesj@cloudflare.com,Male,283.95
21,Alejandrina,Suatt,asuattk@noaa.gov,Female,-406.27
22,Jeri,Douberday,jdouberdayl@skyrock.com,Female,-254.99
23,Alexi,Acedo,aacedom@who.int,Female,634.63
24,Byron,Dunk,bdunkn@digg.com,Agender,804.57
25,Batsheva,Stennes,bstenneso@fc2.com,Female,893.54
26,Lea,Kearney,lkearneyp@sun.com,Female,991.79
27,Teador,Kristufek,tkristufekq@1688.com,Male,263.89
28,Natty,Thurner,nthurnerr@nasa.gov,Female,398.6
29,Tiphany,Scough,tscoughs@dot.gov,Female,-589.76
30,Bradney,Worshall,bworshallt@homestead.com,Male,327.74
31,Skippy,Faber,sfaberu@eventbrite.com,Male,-841.33
32,Aldon,Risom,arisomv@columbia.edu,Male,785.33
33,Annecorinne,Liddicoat,aliddicoatw@desdev.cn,Female,328.46
34,Stormy,Poynton,spoyntonx@indiatimes.com,Female,578.88
35,Cirilo,Ridout,cridouty@shop-pro.jp,Polygender,695.2
36,Hewe,Evenett,hevenettz@dyndns.org,Male,-290.26
37,Immanuel,Belden,ibelden10@patch.com,Male,-654.43
38,Jacquetta,Gladdis,jgladdis11@privacy.gov.au,Female,-461.92
39,Mame,Montel,mmontel12@51.la,Female,974.84
40,Hugo,Pickin,hpickin13@tuttocitta.it,Agender,-209.18
41,Antonio,Sare,asare14@oracle.com,Male,-49.55
42,Nathanael,Litton,nlitton15@squidoo.com,Male,332.5
43,Lesley,Shildrake,lshildrake16@dedecms.com,Male,-522.87
44,Engelbert,Witten,ewitten17@google.com.au,Male,141.59
45,Myrilla,Ledley,mledley18@yahoo.co.jp,Female,115.22
46,Constantino,Duckham,cduckham19@blogtalkradio.com,Male,348.43
47,Sutherlan,Donaway,sdonaway1a@qq.com,Male,-626.6
48,Tonie,Lansbury,tlansbury1b@desdev.cn,Female,-784.37
49,Lauretta,Wadeling,lwadeling1c@cdc.gov,Female,310.72
50,Blake,Cozzi,bcozzi1d@walmart.com,Male,680.91
51,Margy,Rabbet,mrabbet1e@imageshack.us,Female,673.37
52,Vladamir,Hickeringill,vhickeringill1f@amazonaws.com,Male,32.97
53,Drusie,Van der Kruijs,dvanderkruijs1g@ibm.com,Female,17.87
54,Martha,Wenban,mwenban1h@newsvine.com,Female,-418.24
55,Roz,Fulep,rfulep1i@alibaba.com,Female,930.06
56,Lowe,Palluschek,lpalluschek1j@bluehost.com,Male,982.63
57,Javier,Salatino,jsalatino1k@comsenz.com,Male,427.36
58,Beverie,Torres,btorres1l@unesco.org,Female,-623.2
59,Nye,Spaight,nspaight1m@microsoft.com,Male,743.34
60,Kim,Borsay,kborsay1n@bizjournals.com,Genderfluid,480.51
61,Geoff,Cramb,gcramb1o@sina.com.cn,Male,-180.51
62,Durward,Cornbill,dcornbill1p@hhs.gov,Male,-906.13
63,Thornton,Allcock,tallcock1q@angelfire.com,Male,-359.93
64,Sanderson,Ivancevic,sivancevic1r@devhub.com,Male,-643.62
65,Fabian,Blincowe,fblincowe1s@google.pl,Male,-613.57
66,Leigh,Caudrelier,lcaudrelier1t@mtv.com,Female,136.62
67,Valentia,Wagg,vwagg1u@foxnews.com,Female,-315.51
68,Hayes,Skoof,hskoof1v@sitemeter.com,Male,19.46
69,Gennifer,Faldo,gfaldo1w@spotify.com,Female,879.14
70,Annamaria,Verissimo,averissimo1x@addthis.com,Female,-491.97
71,Korey,Bloodworthe,kbloodworthe1y@themeforest.net,Male,489.07
72,Marwin,Speenden,mspeenden1z@europa.eu,Polygender,467.57
73,Gay,Loade,gloade20@yahoo.com,Male,-580.03
74,Rabbi,Marten,rmarten21@google.co.uk,Male,153.84
75,Idette,Fisk,ifisk22@dell.com,Female,-395.33
76,Blinny,Huebner,bhuebner23@howstuffworks.com,Female,534.55
77,Agathe,Gocher,agocher24@prlog.org,Female,897.98
78,Tod,Haskell,thaskell25@nhs.uk,Male,-316.16
79,Carver,Rayhill,crayhill26@sfgate.com,Male,-631.5
80,Mirabel,Tebbett,mtebbett27@typepad.com,Female,715.47
81,Swen,O'Shiels,soshiels28@networkadvertising.org,Male,360.34
82,Alix,Kydd,akydd29@unblog.fr,Male,-736.09
83,Lanita,Pettendrich,lpettendrich2a@1und1.de,Female,189.12
84,Fredi,Gilfoyle,fgilfoyle2b@tuttocitta.it,Female,-705.95
85,Janis,Cann,jcann2c@examiner.com,Female,853.09
86,Bonnee,Henrie,bhenrie2d@dropbox.com,Female,-120.57
87,Tobe,Firk,tfirk2e@chron.com,Male,-843.7
88,Arvy,O'Dwyer,aodwyer2f@amazon.co.uk,Male,185.4
89,Alysa,Blundan,ablundan2g@phpbb.com,Female,647.39
90,Lynett,Hellikes,lhellikes2h@amazonaws.com,Female,-873.14
91,Levy,Cochran,lcochran2i@alibaba.com,Male,-252.89
92,Rosanna,Sewley,rsewley2j@opensource.org,Female,-886.22
93,Dollie,Roydon,droydon2k@ucoz.com,Female,350.12
94,Trista,Mannagh,tmannagh2l@wp.com,Female,419.47
95,Durant,Angus,dangus2m@walmart.com,Male,-975.81
96,Godart,Hillborne,ghillborne2n@ebay.com,Male,-80.37
